,Município,ano,ginibr
0,110001 Alta Floresta D'Oeste,1991,"0,5983"
1,110037 Alto Alegre dos Parecis,1991,
2,110040 Alto Paraíso,1991,
3,110034 Alvorada D'Oeste,1991,"0,569"
4,110002 Ariquemes,1991,"0,5827"
5,110045 Buritis,1991,
6,110003 Cabixi,1991,"0,6527"
7,110060 Cacaulândia,1991,
8,110004 Cacoal,1991,"0,68"
9,110070 Campo Novo de Rondônia,1991,
10,110080 Candeias do Jamari,1991,
11,110090 Castanheiras,1991,
12,110005 Cerejeiras,1991,"0,5958"
13,110092 Chupinguaia,1991,
14,110006 Colorado do Oeste,1991,"0,6229"
15,110007 Corumbiara,1991,
16,110008 Costa Marques,1991,"0,6495"
17,110094 Cujubim,1991,
18,110009 Espigão D'Oeste,1991,"0,6301"
19,110100 Governador Jorge Teixeira,1991,
20,110010 Guajará-Mirim,1991,"0,6024"
21,110110 Itapuã do Oeste,1991,
22,110011 Jaru,1991,"0,5654"
23,110012 Ji-Paraná,1991,"0,5614"
24,110013 Machadinho D'Oeste,1991,"0,5838"
25,110120 Ministro Andreazza,1991,
26,110130 Mirante da Serra,1991,
27,110140 Monte Negro,1991,
28,110014 Nova Brasilândia D'Oeste,1991,"0,4898"
29,110033 Nova Mamoré,1991,"0,5043"
30,110143 Nova União,1991,
31,110050 Novo Horizonte do Oeste,1991,
32,110015 Ouro Preto do Oeste,1991,"0,5939"
33,110145 Parecis,1991,
34,110018 Pimenta Bueno,1991,"0,5955"
35,110146 Pimenteiras do Oeste,1991,
36,110020 Porto Velho,1991,"0,5829"
37,110025 Presidente Médici,1991,"0,5168"
38,110147 Primavera de Rondônia,1991,
39,110026 Rio Crespo,1991,
40,110028 Rolim de Moura,1991,"0,6075"
41,110029 Santa Luzia D'Oeste,1991,"0,5145"
42,110148 São Felipe D'Oeste,1991,
43,110149 São Francisco do Guaporé,1991,
44,110032 São Miguel do Guaporé,1991,"0,6163"
45,110150 Seringueiras,1991,
46,110155 Teixeirópolis,1991,
47,110160 Theobroma,1991,
48,110170 Urupá,1991,
49,110175 Vale do Anari,1991,
50,110180 Vale do Paraíso,1991,
51,110030 Vilhena,1991,"0,5811"
52,120001 Acrelândia,1991,
53,120005 Assis Brasil,1991,"0,4574"
54,120010 Brasiléia,1991,"0,5713"
55,120013 Bujari,1991,
56,120017 Capixaba,1991,
57,120020 Cruzeiro do Sul,1991,"0,5893"
58,120025 Epitaciolândia,1991,
59,120030 Feijó,1991,"0,5604"
60,120032 Jordão,1991,
61,120033 Mâncio Lima,1991,"0,4796"
62,120034 Manoel Urbano,1991,"0,6673"
63,120035 Marechal Thaumaturgo,1991,
64,120038 Plácido de Castro,1991,"0,54"
65,120080 Porto Acre,1991,
66,120039 Porto Walter,1991,
67,120040 Rio Branco,1991,"0,6043"
68,120042 Rodrigues Alves,1991,
69,120043 Santa Rosa do Purus,1991,
70,120050 Sena Madureira,1991,"0,5892"
71,120045 Senador Guiomard,1991,"0,5286"
72,120060 Tarauacá,1991,"0,5623"
73,120070 Xapuri,1991,"0,5163"
74,130002 Alvarães,1991,"0,6617"
75,130006 Amaturá,1991,"0,7304"
76,130008 Anamã,1991,"0,5511"
77,130010 Anori,1991,"0,4612"
78,130014 Apuí,1991,"0,5693"
79,130020 Atalaia do Norte,1991,"0,5883"
80,130030 Autazes,1991,"0,7072"
81,130040 Barcelos,1991,"0,4393"
82,130050 Barreirinha,1991,"0,4768"
83,130060 Benjamin Constant,1991,"0,7212"
84,130063 Beruri,1991,"0,4857"
85,130068 Boa Vista do Ramos,1991,"0,493"
86,130070 Boca do Acre,1991,"0,5896"
87,130080 Borba,1991,"0,6286"
88,130083 Caapiranga,1991,"0,5141"
89,130090 Canutama,1991,"0,5256"
90,130100 Carauari,1991,"0,6294"
91,130110 Careiro,1991,"0,5831"
92,130115 Careiro da Várzea,1991,"0,4746"
93,130120 Coari,1991,"0,543"
94,130130 Codajás,1991,"0,7633"
95,130140 Eirunepé,1991,"0,5817"
96,130150 Envira,1991,"0,5036"
97,130160 Fonte Boa,1991,"0,4257"
98,130165 Guajará,1991,"0,4684"
99,130170 Humaitá,1991,"0,5868"
100,130180 Ipixuna,1991,"0,644"
101,130185 Iranduba,1991,"0,4686"
102,130190 Itacoatiara,1991,"0,54"
103,130195 Itamarati,1991,"0,4678"
104,130200 Itapiranga,1991,"0,486"
105,130210 Japurá,1991,"0,4274"
106,130220 Juruá,1991,"0,5053"
107,130230 Jutaí,1991,"0,5428"
108,130240 Lábrea,1991,"0,6336"
109,130250 Manacapuru,1991,"0,5048"
110,130255 Manaquiri,1991,"0,7118"
111,130260 Manaus,1991,"0,5709"
112,130270 Manicoré,1991,"0,5566"
113,130280 Maraã,1991,"0,4499"
114,130290 Maués,1991,"0,6734"
115,130300 Nhamundá,1991,"0,6046"
116,130310 Nova Olinda do Norte,1991,"0,5596"
117,130320 Novo Airão,1991,"0,5126"
118,130330 Novo Aripuanã,1991,"0,6036"
119,130340 Parintins,1991,"0,6228"
120,130350 Pauini,1991,"0,6393"
121,130353 Presidente Figueiredo,1991,"0,6071"
122,130356 Rio Preto da Eva,1991,"0,6002"
123,130360 Santa Isabel do Rio Negro,1991,"0,4864"
124,130370 Santo Antônio do Içá,1991,"0,6557"
125,130380 São Gabriel da Cachoeira,1991,"0,6336"
126,130390 São Paulo de Olivença,1991,"0,631"
127,130395 São Sebastião do Uatumã,1991,"0,6125"
128,130400 Silves,1991,"0,4752"
129,130406 Tabatinga,1991,"0,554"
130,130410 Tapauá,1991,"0,4171"
131,130420 Tefé,1991,"0,4991"
132,130423 Tonantins,1991,"0,4453"
133,130426 Uarini,1991,"0,5019"
134,130430 Urucará,1991,"0,6334"
135,130440 Urucurituba,1991,"0,4785"
136,140005 Alto Alegre,1991,"0,6637"
137,140002 Amajari,1991,
138,140010 Boa Vista,1991,"0,5781"
139,140015 Bonfim,1991,"0,5931"
140,140017 Cantá,1991,
141,140020 Caracaraí,1991,"0,6283"
142,140023 Caroebe,1991,
143,140028 Iracema,1991,
144,140030 Mucajaí,1991,"0,6422"
145,140040 Normandia,1991,"0,8484"
146,140045 Pacaraima,1991,
147,140047 Rorainópolis,1991,
148,140050 São João da Baliza,1991,"0,5813"
149,140060 São Luiz,1991,"0,6551"
150,140070 Uiramutã,1991,
151,150010 Abaetetuba,1991,"0,5056"
152,150013 Abel Figueiredo,1991,
153,150020 Acará,1991,"0,5783"
154,150030 Afuá,1991,"0,475"
155,150034 Água Azul do Norte,1991,
156,150040 Alenquer,1991,"0,5032"
157,150050 Almeirim,1991,"0,6135"
158,150060 Altamira,1991,"0,5895"
159,150070 Anajás,1991,"0,3901"
160,150080 Ananindeua,1991,"0,5554"
161,150085 Anapu,1991,
162,150090 Augusto Corrêa,1991,"0,4145"
163,150095 Aurora do Pará,1991,
164,150100 Aveiro,1991,"0,5626"
165,150110 Bagre,1991,"0,4297"
166,150120 Baião,1991,"0,5128"
167,150125 Bannach,1991,
168,150130 Barcarena,1991,"0,5673"
169,150140 Belém,1991,"0,6041"
170,150145 Belterra,1991,
171,150150 Benevides,1991,"0,5345"
172,150157 Bom Jesus do Tocantins,1991,"0,5725"
173,150160 Bonito,1991,"0,4789"
174,150170 Bragança,1991,"0,5063"
175,150172 Brasil Novo,1991,
176,150175 Brejo Grande do Araguaia,1991,"0,4877"
177,150178 Breu Branco,1991,
178,150180 Breves,1991,"0,5399"
179,150190 Bujaru,1991,"0,5305"
180,150200 Cachoeira do Arari,1991,"0,4988"
181,150195 Cachoeira do Piriá,1991,
