"Cod. Loc.";"Divisões Territoriais";"2010"
"0";"Brasil";"49.695.598"
"110001";"Alta Floresta D'Oeste";"3.970"
"110002";"Ariquemes";"21.945"
"110003";"Cabixi";"1.023"
"110004";"Cacoal";"19.612"
"110005";"Cerejeiras";"3.554"
"110006";"Colorado do Oeste";"3.808"
"110007";"Corumbiara";"1.645"
"110008";"Costa Marques";"1.950"
"110009";"Espigão D'Oeste";"5.582"
"110010";"Guajará-Mirim";"7.430"
"110011";"Jaru";"10.872"
"110012";"Ji-Paraná";"32.284"
"110013";"Machadinho D'Oeste";"4.231"
"110014";"Nova Brasilândia D'Oeste";"2.586"
"110015";"Ouro Preto do Oeste";"7.498"
"110018";"Pimenta Bueno";"10.953"
"110020";"Porto Velho";"128.160"
"110025";"Presidente Médici";"4.191"
"110026";"Rio Crespo";"514"
"110028";"Rolim de Moura";"12.428"
"110029";"Santa Luzia D'Oeste";"1.599"
"110030";"Vilhena";"22.672"
"110032";"São Miguel do Guaporé";"3.247"
"110033";"Nova Mamoré";"3.024"
"110034";"Alvorada D'Oeste";"2.894"
"110037";"Alto Alegre dos Parecis";"1.286"
"110040";"Alto Paraíso";"2.239"
"110045";"Buritis";"4.591"
"110050";"Novo Horizonte do Oeste";"1.322"
"110060";"Cacaulândia";"854"
"110070";"Campo Novo de Rondônia";"1.119"
"110080";"Candeias do Jamari";"3.992"
"110090";"Castanheiras";"554"
"110092";"Chupinguaia";"2.100"
"110094";"Cujubim";"2.460"
"110100";"Governador Jorge Teixeira";"1.276"
"110110";"Itapuã do Oeste";"1.526"
"110120";"Ministro Andreazza";"1.378"
"110130";"Mirante da Serra";"1.717"
"110140";"Monte Negro";"2.475"
"110143";"Nova União";"961"
"110145";"Parecis";"709"
"110146";"Pimenteiras do Oeste";"425"
"110147";"Primavera de Rondônia";"573"
"110148";"São Felipe D'Oeste";"961"
"110149";"São Francisco do Guaporé";"2.154"
"110150";"Seringueiras";"1.457"
"110155";"Teixeirópolis";"766"
"110160";"Theobroma";"1.090"
"110170";"Urupá";"1.450"
"110175";"Vale do Anari";"1.113"
"110180";"Vale do Paraíso";"794"
"120001";"Acrelândia";"1.343"
"120005";"Assis Brasil";"586"
"120010";"Brasiléia";"2.225"
"120013";"Bujari";"961"
"120017";"Capixaba";"967"
"120020";"Cruzeiro do Sul";"11.259"
"120025";"Epitaciolândia";"1.811"
"120030";"Feijó";"2.287"
"120032";"Jordão";"530"
"120033";"Mâncio Lima";"1.226"
"120034";"Manoel Urbano";"908"
"120035";"Marechal Thaumaturgo";"655"
"120038";"Plácido de Castro";"2.079"
"120039";"Porto Walter";"473"
"120040";"Rio Branco";"80.457"
"120042";"Rodrigues Alves";"695"
"120043";"Santa Rosa do Purus";"367"
"120045";"Senador Guiomard";"3.336"
"120050";"Sena Madureira";"4.460"
"120060";"Tarauacá";"3.063"
"120070";"Xapuri";"1.932"
"120080";"Porto Acre";"1.185"
"130002";"Alvarães";"410"
"130006";"Amaturá";"309"
"130008";"Anamã";"367"
"130010";"Anori";"897"
"130014";"Apuí";"1.311"
"130020";"Atalaia do Norte";"652"
"130030";"Autazes";"1.634"
"130040";"Barcelos";"1.660"
"130050";"Barreirinha";"786"
"130060";"Benjamin Constant";"1.732"
"130063";"Beruri";"427"
"130068";"Boa Vista do Ramos";"877"
"130070";"Boca do Acre";"2.198"
"130080";"Borba";"1.330"
"130083";"Caapiranga";"508"
"130090";"Canutama";"858"
"130100";"Carauari";"1.952"
"130110";"Careiro";"1.846"
"130115";"Careiro da Várzea";"776"
"130120";"Coari";"6.569"
"130130";"Codajás";"1.153"
"130140";"Eirunepé";"1.742"
"130150";"Envira";"542"
"130160";"Fonte Boa";"829"
"130165";"Guajará";"635"
"130170";"Humaitá";"4.628"
"130180";"Ipixuna";"385"
"130185";"Iranduba";"3.907"
"130190";"Itacoatiara";"9.654"
"130195";"Itamarati";"238"
"130200";"Itapiranga";"539"
"130210";"Japurá";"124"
"130220";"Juruá";"105"
"130230";"Jutaí";"253"
"130240";"Lábrea";"1.874"
"130250";"Manacapuru";"6.624"
"130255";"Manaquiri";"764"
"130260";"Manaus";"448.206"
"130270";"Manicoré";"2.209"
"130280";"Maraã";"404"
"130290";"Maués";"3.182"
"130300";"Nhamundá";"511"
"130310";"Nova Olinda do Norte";"1.829"
"130320";"Novo Airão";"1.234"
"130330";"Novo Aripuanã";"1.528"
"130340";"Parintins";"8.098"
"130350";"Pauini";"385"
"130353";"Presidente Figueiredo";"4.437"
"130356";"Rio Preto da Eva";"2.108"
"130360";"Santa Isabel do Rio Negro";"517"
"130370";"Santo Antônio do Içá";"659"
"130380";"São Gabriel da Cachoeira";"2.900"
"130390";"São Paulo de Olivença";"1.203"
"130395";"São Sebastião do Uatumã";"539"
"130400";"Silves";"388"
"130406";"Tabatinga";"4.631"
"130410";"Tapauá";"1.194"
"130420";"Tefé";"6.316"
"130423";"Tonantins";"896"
"130426";"Uarini";"271"
"130430";"Urucará";"1.185"
"130440";"Urucurituba";"860"
"140002";"Amajari";"267"
"140005";"Alto Alegre";"1.063"
"140010";"Boa Vista";"68.876"
"140015";"Bonfim";"733"
"140017";"Cantá";"994"
"140020";"Caracaraí";"1.801"
"140023";"Caroebe";"579"
"140028";"Iracema";"631"
"140030";"Mucajaí";"1.564"
"140040";"Normandia";"560"
"140045";"Pacaraima";"912"
"140047";"Rorainópolis";"2.445"
"140050";"São João da Baliza";"925"
"140060";"São Luiz";"648"
"140070";"Uiramutã";"205"
"150010";"Abaetetuba";"16.450"
"150013";"Abel Figueiredo";"622"
"150020";"Acará";"2.783"
"150030";"Afuá";"1.426"
"150034";"Água Azul do Norte";"2.421"
"150040";"Alenquer";"3.204"
"150050";"Almeirim";"4.648"
"150060";"Altamira";"14.575"
"150070";"Anajás";"1.001"
"150080";"Ananindeua";"101.154"
"150085";"Anapu";"1.418"
"150090";"Augusto Corrêa";"1.185"
"150095";"Aurora do Pará";"1.058"
"150100";"Aveiro";"615"
"150110";"Bagre";"634"
"150120";"Baião";"2.382"
"150125";"Bannach";"384"
"150130";"Barcarena";"15.961"
"150140";"Belém";"319.211"
"150145";"Belterra";"1.128"
"150150";"Benevides";"8.298"
"150157";"Bom Jesus do Tocantins";"1.291"
"150160";"Bonito";"1.257"
"150170";"Bragança";"8.685"
"150172";"Brasil Novo";"1.026"
"150175";"Brejo Grande do Araguaia";"548"
"150178";"Breu Branco";"4.771"
"150180";"Breves";"6.129"
"150190";"Bujaru";"1.104"
"150195";"Cachoeira do Piriá";"431"
"150200";"Cachoeira do Arari";"1.207"
"150210";"Cametá";"7.893"
"150215";"Canaã dos Carajás";"4.832"
"150220";"Capanema";"7.274"
"150230";"Capitão Poço";"2.308"
"150240";"Castanhal";"31.150"
"150250";"Chaves";"484"
"150260";"Colares";"589"
"150270";"Conceição do Araguaia";"5.412"
"150275";"Concórdia do Pará";"2.371"
"150276";"Cumaru do Norte";"1.664"
"150277";"Curionópolis";"1.453"
"150280";"Curralinho";"1.494"
"150285";"Curuá";"833"
"150290";"Curuçá";"1.899"
"150293";"Dom Eliseu";"7.448"
"150295";"Eldorado dos Carajás";"2.123"
"150300";"Faro";"640"
"150304";"Floresta do Araguaia";"1.168"
