 Taxa de analfabetismo - Brasil
Taxa de analfabetismo por Município
Período:2010
"Município";"Taxa_de_analfabetismo"
"110001 ALTA FLORESTA D'OESTE";12,0
"110002 ARIQUEMES";7,9
"110003 CABIXI";13,8
"110004 CACOAL";8,3
"110005 CEREJEIRAS";10,4
"110006 COLORADO DO OESTE";12,9
"110007 CORUMBIARA";12,0
"110008 COSTA MARQUES";9,1
"110009 ESPIGAO D'OESTE";9,4
"110010 GUAJARA-MIRIM";9,0
"110011 JARU";10,6
"110012 JI-PARANA";7,6
"110013 MACHADINHO D'OESTE";12,7
"110014 NOVA BRASILANDIA D'OESTE";11,2
"110015 OURO PRETO DO OESTE";10,0
"110018 PIMENTA BUENO";8,0
"110020 PORTO VELHO";5,2
"110025 PRESIDENTE MEDICI";11,5
"110026 RIO CRESPO";11,4
"110028 ROLIM DE MOURA";8,9
"110029 SANTA LUZIA D'OESTE";13,4
"110030 VILHENA";6,3
"110032 SAO MIGUEL DO GUAPORE";10,3
"110033 NOVA MAMORE";12,6
"110034 ALVORADA D'OESTE";13,3
"110037 ALTO ALEGRE DOS PARECIS";14,5
"110040 ALTO PARAISO";13,5
"110045 BURITIS";11,1
"110050 NOVO HORIZONTE DO OESTE";14,4
"110060 CACAULANDIA";13,7
"110070 CAMPO NOVO DE RONDONIA";11,3
"110080 CANDEIAS DO JAMARI";11,5
"110090 CASTANHEIRAS";13,1
"110092 CHUPINGUAIA";10,8
"110094 CUJUBIM";13,0
"110100 GOVERNADOR JORGE TEIXEIRA";14,4
"110110 ITAPUA DO OESTE";12,3
"110120 MINISTRO ANDREAZZA";12,0
"110130 MIRANTE DA SERRA";13,1
"110140 MONTE NEGRO";13,9
"110143 NOVA UNIAO";14,3
"110145 PARECIS";15,4
"110146 PIMENTEIRAS DO OESTE";8,9
"110147 PRIMAVERA DE RONDONIA";14,9
"110148 SAO FELIPE D'OESTE";16,9
"110149 SAO FRANCISCO DO GUAPORE";9,1
"110150 SERINGUEIRAS";11,0
"110155 TEIXEIROPOLIS";11,9
"110160 THEOBROMA";14,5
"110170 URUPA";14,8
"110175 VALE DO ANARI";15,5
"110180 VALE DO PARAISO";11,7
"120001 ACRELANDIA";15,9
"120005 ASSIS BRASIL";20,4
"120010 BRASILEIA";20,3
"120013 BUJARI";25,1
"120017 CAPIXABA";21,8
"120020 CRUZEIRO DO SUL";18,7
"120025 EPITACIOLANDIA";15,7
"120030 FEIJO";36,8
"120032 JORDAO";25,6
"120033 MANCIO LIMA";23,1
"120034 MANOEL URBANO";31,6
"120035 MARECHAL THAUMATURGO";34,8
"120038 PLACIDO DE CASTRO";18,8
"120039 PORTO WALTER";34,9
"120040 RIO BRANCO";8,9
"120042 RODRIGUES ALVES";31,6
"120043 SANTA ROSA DO PURUS";33,1
"120045 SENADOR GUIOMARD";18,0
"120050 SENA MADUREIRA";24,1
"120060 TARAUACA";32,1
"120070 XAPURI";20,8
"120080 PORTO ACRE";22,2
"130002 ALVARAES";27,1
"130006 AMATURA";25,2
"130008 ANAMA";14,4
"130010 ANORI";17,0
"130014 APUI";11,1
"130020 ATALAIA DO NORTE";38,6
"130030 AUTAZES";15,6
"130040 BARCELOS";24,6
"130050 BARREIRINHA";8,9
"130060 BENJAMIN CONSTANT";21,5
"130063 BERURI";27,1
"130068 BOA VISTA DO RAMOS";6,3
"130070 BOCA DO ACRE";26,8
"130080 BORBA";15,7
"130083 CAAPIRANGA";14,7
"130090 CANUTAMA";27,8
"130100 CARAUARI";27,2
"130110 CAREIRO";13,6
"130115 CAREIRO DA VARZEA";19,6
"130120 COARI";17,3
"130130 CODAJAS";18,0
"130140 EIRUNEPE";29,6
"130150 ENVIRA";34,2
"130160 FONTE BOA";25,2
"130165 GUAJARA";34,3
"130170 HUMAITA";16,0
"130180 IPIXUNA";40,2
"130185 IRANDUBA";12,1
"130190 ITACOATIARA";8,9
"130195 ITAMARATI";39,4
"130200 ITAPIRANGA";6,7
"130210 JAPURA";29,8
"130220 JURUA";32,5
"130230 JUTAI";30,6
"130240 LABREA";29,2
"130250 MANACAPURU";15,3
"130255 MANAQUIRI";12,6
"130260 MANAUS";3,9
"130270 MANICORE";18,3
"130280 MARAA";23,4
"130290 MAUES";9,4
"130300 NHAMUNDA";9,1
"130310 NOVA OLINDA DO NORTE";10,4
"130320 NOVO AIRAO";18,1
