,Município,Taxa_de_analfabetismo,ano
0,110001 ALTA FLORESTA D'OESTE,"12,0",2010
1,110002 ARIQUEMES,"7,9",2010
2,110003 CABIXI,"13,8",2010
3,110004 CACOAL,"8,3",2010
4,110005 CEREJEIRAS,"10,4",2010
5,110006 COLORADO DO OESTE,"12,9",2010
6,110007 CORUMBIARA,"12,0",2010
7,110008 COSTA MARQUES,"9,1",2010
8,110009 ESPIGAO D'OESTE,"9,4",2010
9,110010 GUAJARA-MIRIM,"9,0",2010
10,110011 JARU,"10,6",2010
11,110012 JI-PARANA,"7,6",2010
12,110013 MACHADINHO D'OESTE,"12,7",2010
13,110014 NOVA BRASILANDIA D'OESTE,"11,2",2010
14,110015 OURO PRETO DO OESTE,"10,0",2010
15,110018 PIMENTA BUENO,"8,0",2010
16,110020 PORTO VELHO,"5,2",2010
17,110025 PRESIDENTE MEDICI,"11,5",2010
18,110026 RIO CRESPO,"11,4",2010
19,110028 ROLIM DE MOURA,"8,9",2010
20,110029 SANTA LUZIA D'OESTE,"13,4",2010
21,110030 VILHENA,"6,3",2010
22,110032 SAO MIGUEL DO GUAPORE,"10,3",2010
23,110033 NOVA MAMORE,"12,6",2010
24,110034 ALVORADA D'OESTE,"13,3",2010
25,110037 ALTO ALEGRE DOS PARECIS,"14,5",2010
26,110040 ALTO PARAISO,"13,5",2010
27,110045 BURITIS,"11,1",2010
28,110050 NOVO HORIZONTE DO OESTE,"14,4",2010
29,110060 CACAULANDIA,"13,7",2010
30,110070 CAMPO NOVO DE RONDONIA,"11,3",2010
31,110080 CANDEIAS DO JAMARI,"11,5",2010
32,110090 CASTANHEIRAS,"13,1",2010
33,110092 CHUPINGUAIA,"10,8",2010
34,110094 CUJUBIM,"13,0",2010
35,110100 GOVERNADOR JORGE TEIXEIRA,"14,4",2010
36,110110 ITAPUA DO OESTE,"12,3",2010
37,110120 MINISTRO ANDREAZZA,"12,0",2010
38,110130 MIRANTE DA SERRA,"13,1",2010
39,110140 MONTE NEGRO,"13,9",2010
40,110143 NOVA UNIAO,"14,3",2010
41,110145 PARECIS,"15,4",2010
42,110146 PIMENTEIRAS DO OESTE,"8,9",2010
43,110147 PRIMAVERA DE RONDONIA,"14,9",2010
44,110148 SAO FELIPE D'OESTE,"16,9",2010
45,110149 SAO FRANCISCO DO GUAPORE,"9,1",2010
46,110150 SERINGUEIRAS,"11,0",2010
47,110155 TEIXEIROPOLIS,"11,9",2010
48,110160 THEOBROMA,"14,5",2010
49,110170 URUPA,"14,8",2010
50,110175 VALE DO ANARI,"15,5",2010
51,110180 VALE DO PARAISO,"11,7",2010
52,120001 ACRELANDIA,"15,9",2010
53,120005 ASSIS BRASIL,"20,4",2010
54,120010 BRASILEIA,"20,3",2010
55,120013 BUJARI,"25,1",2010
56,120017 CAPIXABA,"21,8",2010
57,120020 CRUZEIRO DO SUL,"18,7",2010
58,120025 EPITACIOLANDIA,"15,7",2010
59,120030 FEIJO,"36,8",2010
60,120032 JORDAO,"25,6",2010
61,120033 MANCIO LIMA,"23,1",2010
62,120034 MANOEL URBANO,"31,6",2010
63,120035 MARECHAL THAUMATURGO,"34,8",2010
64,120038 PLACIDO DE CASTRO,"18,8",2010
65,120039 PORTO WALTER,"34,9",2010
66,120040 RIO BRANCO,"8,9",2010
67,120042 RODRIGUES ALVES,"31,6",2010
68,120043 SANTA ROSA DO PURUS,"33,1",2010
69,120045 SENADOR GUIOMARD,"18,0",2010
70,120050 SENA MADUREIRA,"24,1",2010
71,120060 TARAUACA,"32,1",2010
72,120070 XAPURI,"20,8",2010
73,120080 PORTO ACRE,"22,2",2010
74,130002 ALVARAES,"27,1",2010
75,130006 AMATURA,"25,2",2010
76,130008 ANAMA,"14,4",2010
77,130010 ANORI,"17,0",2010
78,130014 APUI,"11,1",2010
79,130020 ATALAIA DO NORTE,"38,6",2010
80,130030 AUTAZES,"15,6",2010
81,130040 BARCELOS,"24,6",2010
82,130050 BARREIRINHA,"8,9",2010
83,130060 BENJAMIN CONSTANT,"21,5",2010
84,130063 BERURI,"27,1",2010
85,130068 BOA VISTA DO RAMOS,"6,3",2010
86,130070 BOCA DO ACRE,"26,8",2010
87,130080 BORBA,"15,7",2010
88,130083 CAAPIRANGA,"14,7",2010
89,130090 CANUTAMA,"27,8",2010
90,130100 CARAUARI,"27,2",2010
91,130110 CAREIRO,"13,6",2010
92,130115 CAREIRO DA VARZEA,"19,6",2010
93,130120 COARI,"17,3",2010
94,130130 CODAJAS,"18,0",2010
95,130140 EIRUNEPE,"29,6",2010
96,130150 ENVIRA,"34,2",2010
97,130160 FONTE BOA,"25,2",2010
98,130165 GUAJARA,"34,3",2010
99,130170 HUMAITA,"16,0",2010
100,130180 IPIXUNA,"40,2",2010
101,130185 IRANDUBA,"12,1",2010
102,130190 ITACOATIARA,"8,9",2010
103,130195 ITAMARATI,"39,4",2010
104,130200 ITAPIRANGA,"6,7",2010
105,130210 JAPURA,"29,8",2010
106,130220 JURUA,"32,5",2010
107,130230 JUTAI,"30,6",2010
108,130240 LABREA,"29,2",2010
109,130250 MANACAPURU,"15,3",2010
110,130255 MANAQUIRI,"12,6",2010
111,130260 MANAUS,"3,9",2010
112,130270 MANICORE,"18,3",2010
113,130280 MARAA,"23,4",2010
114,130290 MAUES,"9,4",2010
115,130300 NHAMUNDA,"9,1",2010
116,130310 NOVA OLINDA DO NORTE,"10,4",2010
117,130320 NOVO AIRAO,"18,1",2010
118,130330 NOVO ARIPUANA,"21,0",2010
119,130340 PARINTINS,"5,8",2010
120,130350 PAUINI,"31,1",2010
121,130353 PRESIDENTE FIGUEIREDO,"7,7",2010
122,130356 RIO PRETO DA EVA,"12,1",2010
123,130360 SANTA ISABEL DO RIO NEGRO,"38,5",2010
124,130370 SANTO ANTONIO DO ICA,"24,4",2010
125,130380 SAO GABRIEL DA CACHOEIRA,"16,7",2010
126,130390 SAO PAULO DE OLIVENCA,"25,1",2010
127,130395 SAO SEBASTIAO DO UATUMA,"10,4",2010
128,130400 SILVES,"5,7",2010
129,130406 TABATINGA,"13,9",2010
130,130410 TAPAUA,"31,5",2010
131,130420 TEFE,"13,9",2010
132,130423 TONANTINS,"18,9",2010
133,130426 UARINI,"18,8",2010
134,130430 URUCARA,"8,8",2010
135,130440 URUCURITUBA,"9,6",2010
136,140002 AMAJARI,"39,8",2010
137,140005 ALTO ALEGRE,"39,9",2010
138,140010 BOA VISTA,"5,7",2010
139,140015 BONFIM,"13,0",2010
140,140017 CANTA,"18,2",2010
141,140020 CARACARAI,"12,9",2010
142,140023 CAROEBE,"13,3",2010
143,140028 IRACEMA,"28,3",2010
144,140030 MUCAJAI,"17,7",2010
145,140040 NORMANDIA,"14,5",2010
