 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Período:2021
"Município";"Nascim_p/resid.mãe"
" MUNICIPIO IGNORADO - RO";4
"110001 ALTA FLORESTA D'OESTE";357
"110002 ARIQUEMES";1545
"110003 CABIXI";68
"110004 CACOAL";1366
"110005 CEREJEIRAS";251
"110006 COLORADO DO OESTE";231
"110007 CORUMBIARA";118
"110008 COSTA MARQUES";195
"110009 ESPIGAO D'OESTE";485
"110010 GUAJARA-MIRIM";834
"110011 JARU";920
"110012 JI-PARANA";1972
"110013 MACHADINHO D'OESTE";468
"110014 NOVA BRASILANDIA D'OESTE";233
"110015 OURO PRETO DO OESTE";538
"110018 PIMENTA BUENO";573
"110020 PORTO VELHO";7703
"110025 PRESIDENTE MEDICI";254
"110026 RIO CRESPO";48
"110028 ROLIM DE MOURA";816
"110029 SANTA LUZIA D'OESTE";78
"110030 VILHENA";1623
"110032 SAO MIGUEL DO GUAPORE";344
"110033 NOVA MAMORE";469
"110034 ALVORADA D'OESTE";200
"110037 ALTO ALEGRE DOS PARECIS";143
"110040 ALTO PARAISO";224
"110045 BURITIS";542
"110050 NOVO HORIZONTE DO OESTE";84
"110060 CACAULANDIA";60
"110070 CAMPO NOVO DE RONDONIA";133
"110080 CANDEIAS DO JAMARI";353
"110090 CASTANHEIRAS";37
"110092 CHUPINGUAIA";152
"110094 CUJUBIM";243
"110100 GOVERNADOR JORGE TEIXEIRA";105
"110110 ITAPUA DO OESTE";120
"110120 MINISTRO ANDREAZZA";65
"110130 MIRANTE DA SERRA";153
"110140 MONTE NEGRO";175
"110143 NOVA UNIAO";85
"110145 PARECIS";40
"110146 PIMENTEIRAS DO OESTE";42
"110147 PRIMAVERA DE RONDONIA";40
"110148 SAO FELIPE D'OESTE";45
"110149 SAO FRANCISCO DO GUAPORE";284
"110150 SERINGUEIRAS";180
"110155 TEIXEIROPOLIS";50
"110160 THEOBROMA";83
"110170 URUPA";161
"110175 VALE DO ANARI";75
"110180 VALE DO PARAISO";72
" MUNICIPIO IGNORADO - AC";1
"120001 ACRELANDIA";251
"120005 ASSIS BRASIL";271
"120010 BRASILEIA";525
"120013 BUJARI";251
"120017 CAPIXABA";215
"120020 CRUZEIRO DO SUL";1794
"120025 EPITACIOLANDIA";304
"120030 FEIJO";889
"120032 JORDAO";296
"120033 MANCIO LIMA";379
"120034 MANOEL URBANO";276
"120035 MARECHAL THAUMATURGO";443
"120038 PLACIDO DE CASTRO";282
"120039 PORTO WALTER";338
"120040 RIO BRANCO";5666
"120042 RODRIGUES ALVES";335
"120043 SANTA ROSA DO PURUS";178
"120045 SENADOR GUIOMARD";392
"120050 SENA MADUREIRA";759
"120060 TARAUACA";1174
"120070 XAPURI";326
"120080 PORTO ACRE";354
" MUNICIPIO IGNORADO - AM";26
"130002 ALVARAES";445
"130006 AMATURA";285
"130008 ANAMA";180
"130010 ANORI";262
"130014 APUI";290
"130020 ATALAIA DO NORTE";271
"130030 AUTAZES";950
"130040 BARCELOS";507
"130050 BARREIRINHA";939
"130060 BENJAMIN CONSTANT";1055
"130063 BERURI";589
"130068 BOA VISTA DO RAMOS";297
"130070 BOCA DO ACRE";772
"130080 BORBA";886
"130083 CAAPIRANGA";205
"130090 CANUTAMA";198
"130100 CARAUARI";684
"130110 CAREIRO";619
"130115 CAREIRO DA VARZEA";218
"130120 COARI";1622
"130130 CODAJAS";496
"130140 EIRUNEPE";728
"130150 ENVIRA";365
"130160 FONTE BOA";678
"130165 GUAJARA";340
"130170 HUMAITA";1127
"130180 IPIXUNA";406
"130185 IRANDUBA";939
"130190 ITACOATIARA";2045
"130195 ITAMARATI";298
"130200 ITAPIRANGA";208
"130210 JAPURA";176
"130220 JURUA";208
"130230 JUTAI";680
"130240 LABREA";881
"130250 MANACAPURU";2265
"130255 MANAQUIRI";256
"130260 MANAUS";37041
"130270 MANICORE";1010
"130280 MARAA";449
"130290 MAUES";1515
"130300 NHAMUNDA";348
"130310 NOVA OLINDA DO NORTE";640
"130320 NOVO AIRAO";306
"130330 NOVO ARIPUANA";440
"130340 PARINTINS";2039
"130350 PAUINI";426
"130353 PRESIDENTE FIGUEIREDO";605
"130356 RIO PRETO DA EVA";418
"130360 SANTA ISABEL DO RIO NEGRO";368
"130370 SANTO ANTONIO DO ICA";826
"130380 SAO GABRIEL DA CACHOEIRA";1588
"130390 SAO PAULO DE OLIVENCA";993
"130395 SAO SEBASTIAO DO UATUMA";204
"130400 SILVES";210
"130406 TABATINGA";1812
"130410 TAPAUA";468
"130420 TEFE";1871
"130423 TONANTINS";450
"130426 UARINI";387
"130430 URUCARA";265
"130440 URUCURITUBA";379
"140002 AMAJARI";435
"140005 ALTO ALEGRE";768
"140010 BOA VISTA";8108
"140015 BONFIM";433
"140017 CANTA";418
"140020 CARACARAI";424
"140023 CAROEBE";210
"140028 IRACEMA";142
"140030 MUCAJAI";369
"140040 NORMANDIA";477
"140045 PACARAIMA";609
"140047 RORAINOPOLIS";561
"140050 SAO JOAO DA BALIZA";141
"140060 SAO LUIZ";102
"140070 UIRAMUTA";704
" MUNICIPIO IGNORADO - PA";1
"150010 ABAETETUBA";2768
"150013 ABEL FIGUEIREDO";132
"150020 ACARA";959
"150030 AFUA";1063
"150034 AGUA AZUL DO NORTE";209
"150040 ALENQUER";1131
"150050 ALMEIRIM";792
"150060 ALTAMIRA";2207
"150070 ANAJAS";861
"150080 ANANINDEUA";6856
"150085 ANAPU";649
"150090 AUGUSTO CORREA";900
"150095 AURORA DO PARA";414
"150100 AVEIRO";184
"150110 BAGRE";576
"150120 BAIAO";590
"150125 BANNACH";53
"150130 BARCARENA";2270
"150140 BELEM";16816
"150145 BELTERRA";291
"150150 BENEVIDES";942
"150157 BOM JESUS DO TOCANTINS";284
"150160 BONITO";194
"150170 BRAGANCA";2155
"150172 BRASIL NOVO";337
"150175 BREJO GRANDE DO ARAGUAIA";112
"150178 BREU BRANCO";733
"150180 BREVES";2830
"150190 BUJARU";413
"150195 CACHOEIRA DO PIRIA";344
"150200 CACHOEIRA DO ARARI";311
"150210 CAMETA";2520
"150215 CANAA DOS CARAJAS";1434
"150220 CAPANEMA";1058
"150230 CAPITAO POCO";862
"150240 CASTANHAL";3275
"150250 CHAVES";408
"150260 COLARES";141
"150270 CONCEICAO DO ARAGUAIA";745
"150275 CONCORDIA DO PARA";526
"150276 CUMARU DO NORTE";212
"150277 CURIONOPOLIS";378
"150280 CURRALINHO";728
"150285 CURUA";215
"150290 CURUCA";517
"150293 DOM ELISEU";680
"150295 ELDORADO DOS CARAJAS";477
"150300 FARO";133
"150304 FLORESTA DO ARAGUAIA";324
"150307 GARRAFAO DO NORTE";395
"150309 GOIANESIA DO PARA";576
"150310 GURUPA";768
"150320 IGARAPE-ACU";531
"150330 IGARAPE-MIRI";1134
"150340 INHANGAPI";178
"150345 IPIXUNA DO PARA";636
"150350 IRITUIA";450
"150360 ITAITUBA";2599
"150370 ITUPIRANGA";782
"150375 JACAREACANGA";673
"150380 JACUNDA";686
"150390 JURUTI";1128
"150400 LIMOEIRO DO AJURU";471
"150405 MAE DO RIO";547
"150410 MAGALHAES BARATA";97
"150420 MARABA";4670
"150430 MARACANA";394
"150440 MARAPANIM";312
"150442 MARITUBA";1697
"150445 MEDICILANDIA";461
"150450 MELGACO";638
"150460 MOCAJUBA";524
"150470 MOJU";1333
"150475 MOJUI DOS CAMPOS";286
"150480 MONTE ALEGRE";1128
"150490 MUANA";686
"150495 NOVA ESPERANCA DO PIRIA";338
"150497 NOVA IPIXUNA";192
"150500 NOVA TIMBOTEUA";144
"150503 NOVO PROGRESSO";717
"150506 NOVO REPARTIMENTO";1280
"150510 OBIDOS";1042
"150520 OEIRAS DO PARA";760
"150530 ORIXIMINA";1567
"150540 OUREM";295
"150543 OURILANDIA DO NORTE";647
"150548 PACAJA";755
"150549 PALESTINA DO PARA";106
"150550 PARAGOMINAS";1890
"150553 PARAUAPEBAS";5087
"150555 PAU D'ARCO";119
"150560 PEIXE-BOI";88
"150563 PICARRA";184
"150565 PLACAS";312
"150570 PONTA DE PEDRAS";333
"150580 PORTEL";1673
"150590 PORTO DE MOZ";761
"150600 PRAINHA";774
"150610 PRIMAVERA";171
"150611 QUATIPURU";146
"150613 REDENCAO";1691
"150616 RIO MARIA";323
"150618 RONDON DO PARA";596
"150619 RUROPOLIS";472
"150620 SALINOPOLIS";739
"150630 SALVATERRA";334
"150635 SANTA BARBARA DO PARA";328
"150640 SANTA CRUZ DO ARARI";72
"150650 SANTA IZABEL DO PARA";933
"150655 SANTA LUZIA DO PARA";294
"150658 SANTA MARIA DAS BARREIRAS";200
"150660 SANTA MARIA DO PARA";360
"150670 SANTANA DO ARAGUAIA";676
"150680 SANTAREM";6864
"150690 SANTAREM NOVO";101
"150700 SANTO ANTONIO DO TAUA";428
"150710 SAO CAETANO DE ODIVELAS";206
"150715 SAO DOMINGOS DO ARAGUAIA";382
"150720 SAO DOMINGOS DO CAPIM";479
"150730 SAO FELIX DO XINGU";1120
"150740 SAO FRANCISCO DO PARA";248
"150745 SAO GERALDO DO ARAGUAIA";464
"150746 SAO JOAO DA PONTA";82
"150747 SAO JOAO DE PIRABAS";296
"150750 SAO JOAO DO ARAGUAIA";222
"150760 SAO MIGUEL DO GUAMA";882
"150770 SAO SEBASTIAO DA BOA VISTA";572
"150775 SAPUCAIA";77
"150780 SENADOR JOSE PORFIRIO";296
"150790 SOURE";411
"150795 TAILANDIA";1519
"150796 TERRA ALTA";178
"150797 TERRA SANTA";301
"150800 TOME-ACU";1505
"150803 TRACUATEUA";457
"150805 TRAIRAO";260
"150808 TUCUMA";742
"150810 TUCURUI";1664
"150812 ULIANOPOLIS";388
"150815 URUARA";797
"150820 VIGIA";606
"150830 VISEU";1091
"150835 VITORIA DO XINGU";336
"150840 XINGUARA";966
"160005 SERRA DO NAVIO";94
"160010 AMAPA";160
"160015 PEDRA BRANCA DO AMAPARI";336
"160020 CALCOENE";209
"160021 CUTIAS";117
"160023 FERREIRA GOMES";154
"160025 ITAUBAL";156
"160027 LARANJAL DO JARI";688
"160030 MACAPA";8589
"160040 MAZAGAO";575
"160050 OIAPOQUE";609
"160053 PORTO GRANDE";393
"160055 PRACUUBA";111
"160060 SANTANA";2200
"160070 TARTARUGALZINHO";343
"160080 VITORIA DO JARI";259
"170025 ABREULANDIA";30
"170030 AGUIARNOPOLIS";91
"170035 ALIANCA DO TOCANTINS";67
"170040 ALMAS";123
"170070 ALVORADA";133
"170100 ANANAS";156
"170105 ANGICO";33
"170110 APARECIDA DO RIO NEGRO";72
"170130 ARAGOMINAS";64
"170190 ARAGUACEMA";93
"170200 ARAGUACU";94
"170210 ARAGUAINA";3050
"170215 ARAGUANA";64
"170220 ARAGUATINS";459
"170230 ARAPOEMA";92
"170240 ARRAIAS";137
"170255 AUGUSTINOPOLIS";300
"170270 AURORA DO TOCANTINS";29
"170290 AXIXA DO TOCANTINS";198
"170300 BABACULANDIA";92
"170305 BANDEIRANTES DO TOCANTINS";57
"170307 BARRA DO OURO";94
"170310 BARROLANDIA";61
"170320 BERNARDO SAYAO";51
"170330 BOM JESUS DO TOCANTINS";73
"170360 BRASILANDIA DO TOCANTINS";30
"170370 BREJINHO DE NAZARE";60
"170380 BURITI DO TOCANTINS";146
"170382 CACHOEIRINHA";33
"170384 CAMPOS LINDOS";170
"170386 CARIRI DO TOCANTINS";54
"170388 CARMOLANDIA";36
"170389 CARRASCO BONITO";55
"170390 CASEARA";85
"170410 CENTENARIO";25
"170460 CHAPADA DE AREIA";13
"170510 CHAPADA DA NATIVIDADE";50
"170550 COLINAS DO TOCANTINS";591
"170555 COMBINADO";54
"170560 CONCEICAO DO TOCANTINS";58
"170600 COUTO MAGALHAES";79
"170610 CRISTALANDIA";76
"170625 CRIXAS DO TOCANTINS";17
"170650 DARCINOPOLIS";111
"170700 DIANOPOLIS";299
"170710 DIVINOPOLIS DO TOCANTINS";105
"170720 DOIS IRMAOS DO TOCANTINS";66
"170730 DUERE";57
"170740 ESPERANTINA";139
"170755 FATIMA";49
"170765 FIGUEIROPOLIS";61
"170770 FILADELFIA";94
"170820 FORMOSO DO ARAGUAIA";298
"170825 FORTALEZA DO TABOCAO";57
"170830 GOIANORTE";61
"170900 GOIATINS";208
"170930 GUARAI";364
"170950 GURUPI";1263
"170980 IPUEIRAS";25
"171050 ITACAJA";127
"171070 ITAGUATINS";66
"171090 ITAPIRATINS";55
"171110 ITAPORA DO TOCANTINS";38
"171150 JAU DO TOCANTINS";29
"171180 JUARINA";37
"171190 LAGOA DA CONFUSAO";289
"171195 LAGOA DO TOCANTINS";63
"171200 LAJEADO";58
"171215 LAVANDEIRA";18
"171240 LIZARDA";53
"171245 LUZINOPOLIS";45
"171250 MARIANOPOLIS DO TOCANTINS";65
"171270 MATEIROS";40
"171280 MAURILANDIA DO TOCANTINS";36
"171320 MIRACEMA DO TOCANTINS";295
"171330 MIRANORTE";175
"171360 MONTE DO CARMO";86
"171370 MONTE SANTO DO TOCANTINS";28
"171380 PALMEIRAS DO TOCANTINS";72
"171395 MURICILANDIA";55
"171420 NATIVIDADE";103
"171430 NAZARE";62
"171488 NOVA OLINDA";162
"171500 NOVA ROSALANDIA";48
"171510 NOVO ACORDO";62
"171515 NOVO ALEGRE";23
"171525 NOVO JARDIM";43
"171550 OLIVEIRA DE FATIMA";16
"171570 PALMEIRANTE";50
"171575 PALMEIROPOLIS";85
"171610 PARAISO DO TOCANTINS";795
"171620 PARANA";162
"171630 PAU D'ARCO";66
"171650 PEDRO AFONSO";220
"171660 PEIXE";130
"171665 PEQUIZEIRO";68
"171670 COLMEIA";124
"171700 PINDORAMA DO TOCANTINS";44
"171720 PIRAQUE";37
"171750 PIUM";82
"171780 PONTE ALTA DO BOM JESUS";34
"171790 PONTE ALTA DO TOCANTINS";119
"171800 PORTO ALEGRE DO TOCANTINS";48
"171820 PORTO NACIONAL";1115
"171830 PRAIA NORTE";99
"171840 PRESIDENTE KENNEDY";44
"171845 PUGMIL";31
"171850 RECURSOLANDIA";60
"171855 RIACHINHO";66
"171865 RIO DA CONCEICAO";31
"171870 RIO DOS BOIS";40
"171875 RIO SONO";67
"171880 SAMPAIO";88
"171884 SANDOLANDIA";44
"171886 SANTA FE DO ARAGUAIA";114
"171888 SANTA MARIA DO TOCANTINS";39
"171889 SANTA RITA DO TOCANTINS";30
"171890 SANTA ROSA DO TOCANTINS";89
"171900 SANTA TEREZA DO TOCANTINS";53
"172000 SANTA TEREZINHA DO TOCANTINS";28
"172010 SAO BENTO DO TOCANTINS";79
"172015 SAO FELIX DO TOCANTINS";21
"172020 SAO MIGUEL DO TOCANTINS";155
"172025 SAO SALVADOR DO TOCANTINS";26
"172030 SAO SEBASTIAO DO TOCANTINS";56
"172049 SAO VALERIO";40
"172065 SILVANOPOLIS";63
"172080 SITIO NOVO DO TOCANTINS";135
"172085 SUCUPIRA";19
"172090 TAGUATINGA";173
"172093 TAIPAS DO TOCANTINS";33
"172097 TALISMA";33
"172100 PALMAS";4941
"172110 TOCANTINIA";189
"172120 TOCANTINOPOLIS";445
"172125 TUPIRAMA";34
"172130 TUPIRATINS";33
"172208 WANDERLANDIA";145
"172210 XAMBIOA";174
" MUNICIPIO IGNORADO - MA";3
"210005 ACAILANDIA";1945
"210010 AFONSO CUNHA";116
"210015 AGUA DOCE DO MARANHAO";183
"210020 ALCANTARA";220
"210030 ALDEIAS ALTAS";428
"210040 ALTAMIRA DO MARANHAO";71
"210043 ALTO ALEGRE DO MARANHAO";434
